PERMNO,date,TICKER,COMNAM,CUSIP,PRC
84576,20180928,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,31.92000
84576,20181031,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,28.13000
84576,20181130,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,31.43000
84576,20181231,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,27.38000
84576,20190131,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,30.86000
84576,20190228,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,32.10000
84576,20190329,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,34.36000
84576,20190430,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,34.40000
84576,20190531,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,27.41000
84576,20190628,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,29.42000
84576,20190731,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,27.47000
84576,20190830,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,23.60000
